	g_Acetanaerobacterium	g_Acetitomaculum	g_Acidaminococcus	g_Actinomyces	g_Adlercreutzia	g_Aestuariispira	g_Akkermansia	g_Alistipes	g_Allisonella	g_Allobaculum	g_Alloprevotella	g_Anaerofilum	g_Anaerofustis	g_Anaerorhabdus	g_Anaerosporobacter	g_Anaerostipes	g_Anaerotruncus	g_Arcanobacterium	g_Bacteroides	g_Barnesiella	g_Bifidobacterium	g_Bilophila	g_Blautia	g_Butyricicoccus	g_Butyricimonas	g_Butyrivibrio	g_Campylobacter	g_Catabacter	g_Catenibacterium	g_Cerasicoccus	g_Christensenella	g_Citrobacter	g_Cloacibacillus	g_Clostridium_III	g_Clostridium_IV	g_Clostridium_sensu_stricto	g_Clostridium_XlVa	g_Clostridium_XlVb	g_Clostridium_XVIII	g_Collinsella	g_Comamonas	g_Coprobacillus	g_Coprobacter	g_Coprococcus	g_Corynebacterium	g_Defluviitalea	g_Desulfomicrobium	g_Desulfovibrio	g_Dialister	g_Dorea	g_Eggerthella	g_Eggerthia	g_Eisenbergiella	g_Elusimicrobium	g_Enterobacter	g_Enterococcus	g_Enterorhabdus	g_Escherichia.Shigella	g_Ethanoligenens	g_Eubacterium	g_Ezakiella	g_Faecalibacterium	g_Faecalicoccus	g_Faecalitalea	g_Flavonifractor	g_Frondihabitans	g_Fusicatenibacter	g_Fusobacterium	g_Gemella	g_Gemmiger	g_Gordonibacter	g_Gracilibacter	g_Guggenheimella	g_Haemophilus	g_Hafnia	g_Hespellia	g_Holdemanella	g_Holdemania	g_Howardella	g_Hungatella	g_Hydrogenoanaerobacterium	g_Intestinibacter	g_Intestinimonas	g_Lactobacillus	g_Lactococcus	g_Lactonifactor	g_Lautropia	g_Leuconostoc	g_Macellibacteroides	g_Mannheimia	g_Methanobrevibacter	g_Methanomassiliicoccus	g_Methanosphaera	g_Mitsuokella	g_Mogibacterium	g_Murdochiella	g_Neisseria	g_Odoribacter	g_Oligosphaera	g_Olsenella	g_Oscillibacter	g_Oxalobacter	g_Papillibacter	g_Parabacteroides	g_Paraprevotella	g_Parasutterella	g_Parvibacter	g_Parvimonas	g_Pelospora	g_Peptococcus	g_Peptoniphilus	g_Phascolarctobacterium	g_Porphyromonas	g_Prevotella	g_Proteus	g_Pseudobutyrivibrio	g_Pseudoflavonifractor	g_Pseudomonas	g_Raoultella	g_Rikenella	g_Romboutsia	g_Roseburia	g_Rothia	g_Ruminococcus	g_Ruminococcus2	g_Senegalimassilia	g_Slackia	g_Solobacterium	g_Sporobacter	g_Staphylococcus	g_Streptococcus	g_Subdoligranulum	g_Succinatimonas	g_Succiniclasticum	g_Sutterella	g_Terrisporobacter	g_Turicibacter	g_Ureaplasma	g_Vampirovibrio	g_Varibaculum	g_Veillonella	g_Victivallis	g_Weissella	g_Yersinia	uc_c_Alphaproteobacteria	uc_c_Clostridia	uc_c_Deltaproteobacteria	uc_c_Gammaproteobacteria	uc_c_Opitutae	uc_f_Clostridiales_Incertae_Sedis_XIII	uc_f_Coriobacteriaceae	uc_f_Cryomorphaceae	uc_f_Desulfovibrionaceae	uc_f_Enterobacteriaceae	uc_f_Erysipelotrichaceae	uc_f_Lachnospiraceae	uc_f_Peptostreptococcaceae	uc_f_Porphyromonadaceae	uc_f_Prevotellaceae	uc_f_Rhodospirillaceae	uc_f_Rikenellaceae	uc_f_Ruminococcaceae	uc_f_Streptophyta	uc_f_Sutterellaceae	uc_f_Synergistaceae	uc_f_Veillonellaceae	uc_k_Bacteria	uc_o_Bacillales	uc_o_Bacteroidales	uc_o_Burkholderiales	uc_o_Clostridiales	uc_o_Desulfovibrionales	uc_o_Lactobacillales	uc_o_Rhodospirillales	uc_p_Bacteroidetes	uc_p_Firmicutes	uc_p_Lentisphaerae	uc_p_Proteobacteria
1	0	0	0	0	277917118.4	0	46319519.73	1482224631	0	0	0	0	0	0	0	1528544151	0	0	8105915953	92639039.47	5326744769	46319519.73	1435905112	277917118.4	0	0	0	0	0	0	0	0	0	0	3242366381	46319519.73	324236638.1	138958559.2	92639039.47	2038058868	0	0	0	1713822230	0	0	0	46319519.73	0	648473276.3	0	0	0	0	0	0	92639039.47	0	0	0	0	23252398906	0	0	0	0	833751355.2	46319519.73	0	277917118.4	0	0	0	0	0	46319519.73	0	0	46319519.73	0	0	185278078.9	185278078.9	0	0	0	0	0	0	0	46319519.73	0	0	0	0	0	0	0	0	0	370556157.9	0	0	138958559.2	0	46319519.73	138958559.2	0	0	0	0	138958559.2	0	0	0	0	0	0	0	0	92639039.47	32145746695	0	3566603019	2918129743	277917118.4	0	0	463195197.3	0	46319519.73	0	0	0	370556157.9	46319519.73	0	0	0	0	0	0	0	0	0	0	0	0	0	46319519.73	370556157.9	0	0	0	0	3844520138	46319519.73	0	0	0	0	972709914.4	0	0	0	0	0	0	0	0	555834236.8	0	0	0	0	185278078.9	0	0
1.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.2	0	0	0	0	231589903.7	0	0	1574811345	0	0	0	0	0	0	0	1065313557	0	0	7410876919	185271923	1806401249	277907884.5	648451730.4	277907884.5	92635961.49	0	0	0	0	0	0	0	0	0	1760083268	0	185271923	0	138953942.2	1296903461	0	0	0	555815768.9	0	0	0	509497788.2	0	416861826.7	0	0	0	0	0	0	46317980.74	0	0	0	0	6252927400	46317980.74	0	92635961.49	0	370543846	0	0	463179807.4	0	0	0	0	0	46317980.74	0	0	46317980.74	0	0	92635961.49	231589903.7	0	0	0	0	0	0	0	46317980.74	0	0	0	0	0	0	0	0	0	416861826.7	0	0	370543846	0	92635961.49	46317980.74	0	0	0	0	138953942.2	0	46317980.74	0	0	0	0	0	0	0	8290918553	0	880041634.1	1806401249	92635961.49	0	0	185271923	0	92635961.49	0	0	0	463179807.4	0	0	0	0	0	0	46317980.74	0	0	0	0	0	0	0	0	46317980.74	0	0	0	0	2454852979	0	0	0	0	0	416861826.7	0	0	0	0	138953942.2	0	0	0	185271923	0	0	0	0	0	0	0
1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.6	0	0	0	46309489.88	370475919.1	0	926189797.7	2871188373	0	0	0	0	0	0	92618979.77	9539754916	46309489.88	0	5371900826	138928469.6	15513679111	277856939.3	3704759191	277856939.3	46309489.88	0	0	0	0	0	0	0	0	0	7548446851	138928469.6	277856939.3	185237959.5	1065118267	6529638074	0	0	0	2639640923	0	0	0	370475919.1	0	1296665717	0	0	0	0	0	0	138928469.6	46309489.88	0	0	0	12735109718	0	0	46309489.88	0	1528213166	46309489.88	0	1065118267	0	0	0	0	0	92618979.77	0	0	46309489.88	0	138928469.6	0	648332858.4	0	0	0	0	0	0	0	416785408.9	0	0	0	0	0	0	0	0	0	1852379595	46309489.88	0	138928469.6	0	46309489.88	324166429.2	0	0	0	0	185237959.5	0	0	0	0	92618979.77	0	0	0	277856939.3	9910230835	0	4908805928	7224280422	740951838.1	0	0	1435594186	0	92618979.77	370475919.1	0	0	231547449.4	0	46309489.88	0	0	185237959.5	0	0	0	0	0	0	0	0	0	0	185237959.5	0	0	0	46309489.88	8289398689	0	0	0	0	0	3426902251	0	0	92618979.77	46309489.88	0	0	0	0	1528213166	0	0	0	0	231547449.4	0	0
1.7	0	0	0	0	231516337.9	0	92606535.16	1805827436	0	0	0	0	0	0	92606535.16	3287531998	46303267.58	0	3889474477	185213070.3	7871555489	0	1944737238	92606535.16	0	0	0	0	0	0	0	0	0	0	1898433971	0	138909802.7	0	92606535.16	3611654871	0	0	0	833458816.4	0	0	0	231516337.9	0	324122873.1	0	0	0	0	0	0	185213070.3	92606535.16	0	0	0	5139662701	0	0	185213070.3	0	740852281.3	0	0	324122873.1	0	0	0	0	0	92606535.16	0	0	0	0	46303267.58	0	185213070.3	0	0	0	0	0	0	0	185213070.3	0	0	0	0	0	0	0	0	0	601942478.5	92606535.16	0	231516337.9	0	46303267.58	46303267.58	0	0	0	0	92606535.16	0	0	0	0	92606535.16	0	0	0	138909802.7	5973121518	0	2546679717	2176253576	231516337.9	0	0	601942478.5	0	46303267.58	0	0	0	416729408.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46303267.58	0	0	0	46303267.58	3982081012	0	0	0	0	0	1203884957	0	0	46303267.58	0	92606535.16	0	0	0	972368619.2	0	0	0	0	138909802.7	0	0
1.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.9	0	0	0	92622503.27	463112516.3	0	231556258.2	4538502660	0	0	0	0	0	0	138933754.9	6900376493	0	0	23016692062	555735019.6	27231015960	324178761.4	4168012647	602046271.2	138933754.9	0	0	0	0	46311251.63	0	0	0	0	14171243000	185245006.5	787291277.8	92622503.27	648357522.9	6252018970	0	0	0	4168012647	0	0	0	277867509.8	0	1713516310	0	0	0	0	0	0	416801264.7	185245006.5	0	0	0	53628429391	0	0	138933754.9	0	1852450065	0	0	1806138814	0	0	0	0	0	231556258.2	0	0	138933754.9	0	370490013.1	648357522.9	509423768	0	0	0	0	0	0	0	277867509.8	0	0	0	0	0	0	138933754.9	0	0	1574582556	0	0	277867509.8	0	92622503.27	370490013.1	0	0	0	0	138933754.9	0	0	0	0	0	0	0	0	277867509.8	44319867813	0	6807753990	8521270300	1065158788	0	0	1528271304	0	185245006.5	138933754.9	0	0	787291277.8	46311251.63	138933754.9	0	0	0	0	46311251.63	0	0	0	0	0	0	0	92622503.27	231556258.2	0	0	0	0	12642971696	0	0	0	0	0	3797522634	0	0	0	0	0	0	0	0	1065158788	0	0	0	0	555735019.6	0	0
